day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_hol_0,state_hol_1,state_hol_2,state_hol_3,sales
5,652,1,1,0,1,0,0,0,6474.423423423424
5,651,1,1,0,1,0,0,0,6474.423423423424
6,550,1,0,0,1,0,0,0,5452.131860299359
6,538,1,0,0,1,0,0,0,5261.591693290735
6,877,1,0,0,1,0,0,0,7701.688160088938
5,837,1,1,0,1,0,0,0,8058.9481292517
4,508,1,1,0,1,0,0,0,5426.836538461538
1,822,1,1,0,1,0,0,0,9082.59776864357
1,962,1,0,0,1,0,0,0,7507.31095890411
5,789,1,1,0,1,0,0,0,7811.268158976702
7,0,0,0,0,1,0,0,0,0.0
2,615,1,1,0,1,0,0,0,6782.275815217391
1,367,1,0,0,1,0,0,0,3654.067415730337
3,598,1,0,0,1,0,0,0,5248.391816920943
6,518,1,0,0,1,0,0,0,5261.591693290735
2,714,1,1,0,1,0,0,0,7543.944910179641
1,1013,1,1,0,1,0,0,0,10495.552746294681
4,710,1,0,0,1,0,0,0,5933.963311382879
1,1290,1,1,0,1,0,0,0,12256.130208333334
4,711,1,0,1,1,0,0,0,6114.780160857908
7,0,0,0,0,1,0,0,0,0.0
5,860,1,0,0,1,0,0,0,7387.374053030303
2,850,1,1,0,1,0,0,0,8509.226804123711
1,497,1,0,0,1,0,0,0,4680.334035827186
7,0,0,0,0,1,0,0,0,0.0
6,515,1,0,0,1,0,0,0,4971.949982752673
6,951,1,0,1,1,0,0,0,8182.064814814815
1,1166,1,0,0,1,0,0,0,8394.735354927636
3,854,1,0,0,1,0,0,0,6828.537931034482
2,394,1,1,0,1,0,0,0,4806.965174129353
4,576,1,0,0,1,0,0,0,5072.019741564967
2,744,1,0,0,1,0,0,0,6119.622191011236
7,0,0,0,0,1,0,0,0,0.0
6,977,1,0,0,1,0,0,0,8182.064814814815
5,676,1,0,0,1,0,0,0,6108.34
2,689,1,1,0,1,0,0,0,7277.700125470515
3,681,1,1,1,1,0,0,0,7058.356196414653
5,522,1,0,1,1,0,0,0,5013.0
2,1080,1,1,0,1,0,0,0,9940.55845629966
3,458,1,0,0,1,0,0,0,4360.727244582044
6,510,1,0,0,1,0,0,0,4971.949982752673
5,775,1,1,0,1,0,0,0,7726.496010079798
7,0,0,0,0,1,0,0,0,0.0
2,1561,1,0,1,1,0,0,0,12520.703488372093
2,962,1,1,0,1,0,0,0,9170.389438943894
7,0,0,0,0,1,0,0,0,0.0
4,963,1,1,0,1,0,0,0,8822.24535493092
2,1682,1,1,0,1,0,0,0,13592.04945054945
6,551,1,0,0,1,0,0,0,5452.131860299359
1,378,1,1,0,1,0,0,0,4752.4375
5,622,1,0,0,1,0,0,0,5645.993006993007
1,681,1,1,0,1,0,0,0,7961.199488491048
4,710,1,1,0,1,0,0,0,7085.268030862127
5,833,1,1,0,1,0,0,0,8058.9481292517
6,301,1,0,0,1,0,0,0,2834.8985507246375
6,908,1,0,0,1,0,0,0,8021.107382550335
1,763,1,1,0,1,0,0,0,8476.155069582504
3,836,1,1,1,1,0,0,0,8235.41917211329
1,1327,1,0,1,1,0,0,0,10898.942708333334
1,1170,1,1,0,1,0,0,0,11481.333333333334
2,767,1,1,1,1,0,0,0,7839.781362007168
2,547,1,0,1,1,0,0,0,5053.155072463768
5,553,1,1,0,1,0,0,0,5876.073184676959
6,491,1,0,0,1,0,0,0,4864.155793573515
5,599,1,0,0,1,0,0,0,5539.437130801688
4,744,1,1,0,1,0,0,0,7414.5713199898655
3,1515,1,1,1,1,0,0,0,12332.705996131528
4,461,1,0,1,1,0,0,0,4360.727244582044
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
3,378,1,1,1,1,0,0,0,4476.854961832061
6,805,1,0,0,1,0,0,0,7052.422169811321
2,491,1,0,0,1,0,0,0,4603.439879154079
1,472,1,0,0,1,0,0,0,4523.016152716593
1,1562,1,1,0,1,0,0,0,14655.788856304986
4,666,1,0,0,1,0,0,0,5680.417628541448
1,404,1,0,0,1,0,0,0,4050.9443155452436
6,847,1,0,0,1,0,0,0,7701.688160088938
4,376,1,1,0,1,0,0,0,4158.031662269129
2,1682,1,1,0,1,0,0,0,13592.04945054945
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
6,826,1,0,0,1,0,0,0,7346.38206954336
3,737,1,1,0,1,0,0,0,7414.5713199898655
7,0,0,0,0,1,0,0,0,0.0
1,0,0,0,1,0,0,1,0,0.0
3,632,1,1,0,1,0,0,0,6653.97895902547
1,871,1,1,0,1,0,0,0,9485.714143426294
2,902,1,1,0,1,0,0,0,8968.846675712348
7,0,0,0,1,1,0,0,0,0.0
1,1193,1,0,1,1,0,0,0,9736.383870967742
4,585,1,0,1,1,0,0,0,5277.985940246046
5,791,1,0,1,1,0,0,0,6744.2184829059825
3,1720,1,1,0,1,0,0,0,13750.309297912714
3,579,1,1,0,1,0,0,0,6166.070807453416
5,999,1,0,0,1,0,0,0,8267.047908232118
4,790,1,1,0,1,0,0,0,7811.268158976702
2,1476,1,1,0,1,0,0,0,13592.04945054945
2,689,1,1,0,1,0,0,0,7277.700125470515
6,484,1,0,0,1,0,0,0,4719.9421782178215
1,607,1,0,0,1,0,0,0,5248.391816920943
1,716,1,0,0,1,0,0,0,6006.992889463478
7,0,0,0,0,1,0,0,0,0.0
6,341,1,0,0,1,0,0,0,3153.19921875
5,2677,1,1,0,1,0,0,0,16177.286338797814
6,582,1,0,0,1,0,0,0,5777.84505640345
3,2241,1,1,0,1,0,0,0,16177.286338797814
6,517,1,0,0,1,0,0,0,5261.591693290735
3,1029,1,1,0,1,0,0,0,9359.699376947041
4,450,1,0,0,1,0,0,0,4360.727244582044
2,766,1,1,0,1,0,0,0,7839.781362007168
4,517,1,0,1,1,0,0,0,4691.07006071929
1,929,1,0,0,1,0,0,0,7142.867151956324
3,610,1,1,0,1,0,0,0,6413.790129372304
2,490,1,0,1,1,0,0,0,4603.439879154079
3,453,1,0,1,1,0,0,0,4360.727244582044
1,3171,1,0,0,1,0,0,0,16552.175496688742
6,1881,1,0,0,1,0,0,0,13483.504405286343
3,962,1,1,1,1,0,0,0,8822.24535493092
6,1251,1,0,0,1,0,0,0,9987.909346451159
1,627,1,0,0,1,0,0,0,5456.4825026511135
4,563,1,0,0,1,0,0,0,5072.019741564967
3,763,1,0,1,1,0,0,0,6205.934156378601
3,507,1,1,1,1,0,0,0,5735.693045563549
6,862,1,0,0,1,0,0,0,7701.688160088938
2,1563,1,1,0,1,0,0,0,13592.04945054945
4,455,1,1,0,1,0,0,0,5035.243410852713
5,764,1,1,0,1,0,0,0,7564.41279620853
3,1906,1,1,1,1,0,0,0,15330.102564102564
3,757,1,1,0,1,0,0,0,7564.41279620853
2,675,1,0,0,1,0,0,0,5805.374263565892
1,429,1,1,0,1,0,0,0,5425.334437086092
2,745,1,1,0,1,0,0,0,7650.754653130288
3,659,1,0,1,1,0,0,0,5739.129317980513
7,0,0,0,0,1,0,0,0,0.0
5,1599,1,0,0,1,0,0,0,11655.98296836983
7,0,0,0,0,1,0,0,0,0.0
3,806,1,1,0,1,0,0,0,8004.339388145316
7,0,0,0,0,1,0,0,0,0.0
6,614,1,0,0,1,0,0,0,6089.990731863215
5,453,1,0,0,1,0,0,0,4523.0251121076235
6,402,1,0,0,1,0,0,0,3924.5217965653896
1,960,1,0,1,1,0,0,0,8402.787671232876
4,856,1,1,0,1,0,0,0,8058.9481292517
6,589,1,0,0,1,0,0,0,5777.84505640345
1,1096,1,1,0,1,0,0,0,11154.968232044199
7,0,0,0,0,1,0,0,0,0.0
1,749,1,0,0,1,0,0,0,6119.622191011236
4,493,1,0,0,1,0,0,0,4603.439879154079
1,0,0,0,1,0,0,1,0,0.0
5,925,1,0,0,1,0,0,0,7640.4215413184775
2,948,1,1,0,1,0,0,0,9170.389438943894
1,988,1,0,0,1,0,0,0,7576.42880794702
3,1087,1,1,0,1,0,0,0,9698.59173126615
1,1093,1,1,0,1,0,0,0,11154.968232044199
3,756,1,1,1,1,0,0,0,7564.41279620853
7,0,0,0,0,1,0,0,0,0.0
6,825,1,0,0,1,0,0,0,7346.38206954336
2,1205,1,1,0,1,0,0,0,10914.898340248963
2,351,1,1,1,1,0,0,0,4165.571428571428
7,0,0,0,0,1,0,0,0,0.0
4,483,1,0,0,1,0,0,0,4528.235518292683
2,648,1,1,0,1,0,0,0,7094.018971848225
6,786,1,0,0,1,0,0,0,7052.422169811321
5,629,1,0,0,1,0,0,0,5852.264111498258
1,1174,1,1,0,1,0,0,0,11762.37386569873
5,175,1,0,1,1,0,0,0,1724.3265306122448
4,1910,1,0,1,1,0,0,0,12766.161290322581
3,647,1,1,0,1,0,0,0,6653.97895902547
1,698,1,1,1,1,0,0,0,8143.700787401574
3,749,1,0,0,1,0,0,0,6266.349088453748
4,428,1,0,0,1,0,0,0,4316.991014120667
2,384,1,0,1,1,0,0,0,3820.6510067114095
6,520,1,0,0,1,0,0,0,5261.591693290735
5,578,1,0,0,1,0,0,0,5307.0550847457625
6,462,1,0,0,1,0,0,0,4393.77794117647
6,668,1,0,0,1,0,0,0,6394.018451845184
5,804,1,0,1,1,0,0,0,6991.054325955734
2,431,1,0,1,1,0,0,0,4234.0
6,490,1,0,0,1,0,0,0,4864.155793573515
4,1108,1,1,0,1,0,0,0,9897.945957820739
5,989,1,0,1,1,0,0,0,8267.047908232118
7,0,0,0,0,1,0,0,0,0.0
6,694,1,0,0,1,0,0,0,6500.995071868583
4,948,1,1,0,1,0,0,0,8597.108353510896
4,618,1,1,0,1,0,0,0,6235.335553910683
6,266,1,0,0,1,0,0,0,2487.3035143769966
6,388,1,0,0,1,0,0,0,3677.5212922173273
3,567,1,0,1,1,0,0,0,5152.003562945368
6,380,1,0,0,1,0,0,0,3582.193893129771
5,592,1,0,1,1,0,0,0,5539.437130801688
3,552,1,0,0,1,0,0,0,4944.736147757256
2,708,1,1,0,1,0,0,0,7430.731629392972
3,535,1,0,1,1,0,0,0,4791.989032901296
2,661,1,1,1,1,0,0,0,7094.018971848225
7,0,0,0,0,1,0,0,0,0.0
1,0,0,0,0,0,1,0,0,0.0
3,621,1,0,0,1,0,0,0,5364.717372881356
1,754,1,0,0,1,0,0,0,6119.622191011236
5,1211,1,1,0,1,0,0,0,10576.84399375975
3,837,1,1,1,1,0,0,0,8235.41917211329
5,677,1,1,0,1,0,0,0,6823.023879500367
4,416,1,1,0,1,0,0,0,4678.082266910421
2,479,1,0,0,1,0,0,0,4528.235518292683
4,589,1,0,0,1,0,0,0,5248.391816920943
3,581,1,1,1,1,0,0,0,6166.070807453416
7,0,0,0,0,1,0,0,0,0.0
4,657,1,0,0,1,0,0,0,5680.417628541448
5,854,1,1,0,1,0,0,0,8058.9481292517
7,0,0,0,0,1,0,0,0,0.0
6,471,1,0,0,1,0,0,0,4719.9421782178215
4,598,1,0,0,1,0,0,0,5248.391816920943
4,319,1,0,0,1,0,0,0,3352.6308724832215
3,0,0,0,1,0,0,0,1,0.0
6,465,1,0,0,1,0,0,0,4532.85368956743
1,839,1,0,0,1,0,0,0,6707.170076726343
1,738,1,1,0,1,0,0,0,8265.54906731549
7,0,0,0,0,1,0,0,0,0.0
6,492,1,0,0,1,0,0,0,4864.155793573515
5,987,1,1,0,1,0,0,0,8962.04939271255
4,335,1,1,0,1,0,0,0,3820.481781376518
1,3508,1,1,1,1,0,0,0,19747.875
4,716,1,1,0,1,0,0,0,7085.268030862127
6,377,1,0,0,1,0,0,0,3582.193893129771
3,1176,1,1,0,1,0,0,0,10313.36797274276
2,462,1,1,0,1,0,0,0,5434.327586206897
4,454,1,1,0,1,0,0,0,5035.243410852713
3,372,1,0,0,1,0,0,0,3824.7544006705784
2,710,1,0,0,1,0,0,0,5805.374263565892
5,0,0,1,1,0,0,1,0,0.0
3,373,1,0,0,1,0,0,0,3824.7544006705784
2,1201,1,1,0,1,0,0,0,10914.898340248963
1,650,1,1,1,1,0,0,0,7558.199558985667
4,508,1,1,0,1,0,0,0,5426.836538461538
2,879,1,1,0,1,0,0,0,8662.169014084508
5,769,1,1,1,1,0,0,0,7726.496010079798
2,435,1,1,0,1,0,0,0,5290.899317406143
2,930,1,1,1,1,0,0,0,9170.389438943894
7,0,0,0,0,1,0,0,0,0.0
6,501,1,0,0,1,0,0,0,4971.949982752673
6,474,1,0,0,1,0,0,0,4719.9421782178215
6,589,1,0,0,1,0,0,0,5777.84505640345
5,0,0,0,1,0,0,0,1,0.0
3,624,1,1,0,1,0,0,0,6653.97895902547
5,861,1,0,0,1,0,0,0,7387.374053030303
5,546,1,0,0,1,0,0,0,5222.174103237096
7,0,0,0,0,1,0,0,0,0.0
4,1068,1,1,0,1,0,0,0,9359.699376947041
1,500,1,0,0,1,0,0,0,4680.334035827186
3,444,1,0,0,1,0,0,0,4302.787535410765
3,499,1,1,0,1,0,0,0,5597.53734939759
1,764,1,0,0,1,0,0,0,6119.622191011236
5,661,1,1,0,1,0,0,0,6693.42872687704
6,1004,1,0,0,1,0,0,0,8267.047908232118
1,482,1,1,0,1,0,0,0,5844.941979522185
7,0,0,0,0,1,0,0,0,0.0
2,505,1,0,0,1,0,0,0,4603.439879154079
4,0,0,1,0,0,1,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
3,1584,1,1,0,1,0,0,0,12332.705996131528
4,668,1,1,0,1,0,0,0,6693.42872687704
2,507,1,1,0,1,0,0,0,5930.218888888889
2,1050,1,1,0,1,0,0,0,9675.212030075189
3,421,1,1,0,1,0,0,0,4843.489473684211
5,600,1,0,0,1,0,0,0,5539.437130801688
6,426,1,0,0,1,0,0,0,4075.912162162162
7,0,0,0,0,1,0,0,0,0.0
2,333,1,0,0,1,0,0,0,3408.6898340248963
5,802,1,0,0,1,0,0,0,6991.054325955734
1,590,1,1,0,1,0,0,0,6909.185185185185
4,501,1,1,0,1,0,0,0,5426.836538461538
5,905,1,0,1,1,0,0,0,7640.4215413184775
1,575,1,1,0,1,0,0,0,7031.929292929293
6,343,1,0,0,1,0,0,0,3258.3040935672516
6,304,1,0,0,1,0,0,0,2834.8985507246375
2,510,1,0,1,1,0,0,0,4691.07006071929
5,1176,1,1,0,1,0,0,0,10313.36797274276
2,464,1,0,1,1,0,0,0,4433.312154696133
5,384,1,0,1,1,0,0,0,3892.9155495978553
4,685,1,1,1,1,0,0,0,6823.023879500367
6,492,1,0,0,1,0,0,0,4864.155793573515
4,1410,1,0,1,1,0,0,0,10160.356435643564
2,662,1,1,0,1,0,0,0,7094.018971848225
6,606,1,0,0,1,0,0,0,5777.84505640345
2,1099,1,1,0,1,0,0,0,10039.902077151335
2,861,1,0,0,1,0,0,0,6828.537931034482
4,686,1,0,0,1,0,0,0,5933.963311382879
1,885,1,1,0,1,0,0,0,9485.714143426294
1,1041,1,1,0,1,0,0,0,10705.333333333334
7,0,0,0,0,1,0,0,0,0.0
1,823,1,1,1,1,0,0,0,9082.59776864357
1,864,1,1,0,1,0,0,0,9485.714143426294
5,569,1,1,0,1,0,0,0,6042.1271105447595
4,905,1,0,0,1,0,0,0,7031.688800792865
7,0,0,0,0,1,0,0,0,0.0
3,573,1,1,0,1,0,0,0,6166.070807453416
5,1024,1,1,0,1,0,0,0,9359.699376947041
5,493,1,1,1,1,0,0,0,5426.836538461538
3,605,1,1,0,1,0,0,0,6413.790129372304
7,0,0,0,0,1,0,0,0,0.0
2,853,1,1,0,1,0,0,0,8509.226804123711
2,507,1,1,0,1,0,0,0,5930.218888888889
3,431,1,0,0,1,0,0,0,4234.0
1,610,1,0,0,1,0,0,0,5364.717372881356
4,777,1,1,0,1,0,0,0,7726.496010079798
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
4,793,1,0,1,1,0,0,0,6543.673076923077
4,516,1,1,0,1,0,0,0,5601.772961816306
7,0,0,0,0,1,0,0,0,0.0
6,1831,1,0,0,1,0,0,0,12227.579957356076
3,1819,1,1,0,1,0,0,0,14583.976
4,966,1,0,0,1,0,0,0,7507.31095890411
3,642,1,1,0,1,0,0,0,6653.97895902547
2,493,1,0,0,1,0,0,0,4603.439879154079
6,1201,1,0,0,1,0,0,0,9758.243515850145
5,822,1,1,0,1,0,0,0,8058.9481292517
3,539,1,0,0,1,0,0,0,4840.990672884744
5,1014,1,1,1,1,0,0,0,9256.547286821706
2,578,1,1,0,1,0,0,0,6498.201629327902
5,433,1,0,0,1,0,0,0,4316.991014120667
1,958,1,0,1,1,0,0,0,8402.787671232876
6,801,1,0,0,1,0,0,0,7052.422169811321
1,0,0,0,0,0,1,0,0,0.0
4,868,1,1,0,1,0,0,0,8058.9481292517
3,847,1,1,0,1,0,0,0,8235.41917211329
3,429,1,1,0,1,0,0,0,4966.260135135135
5,627,1,1,0,1,0,0,0,6474.423423423424
1,647,1,1,0,1,0,0,0,7558.199558985667
5,692,1,0,0,1,0,0,0,6244.863395225464
2,539,1,0,1,1,0,0,0,4791.989032901296
3,0,0,1,1,1,0,0,0,0.0
2,824,1,1,0,1,0,0,0,8509.226804123711
3,786,1,1,0,1,0,0,0,7803.5809248554915
2,587,1,1,1,1,0,0,0,6498.201629327902
4,489,1,1,0,1,0,0,0,5426.836538461538
1,838,1,1,1,1,0,0,0,8902.784753363228
2,703,1,1,0,1,0,0,0,7430.731629392972
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
1,577,1,1,0,1,0,0,0,7031.929292929293
2,619,1,0,0,1,0,0,0,5364.717372881356
1,1586,1,1,0,1,0,0,0,14655.788856304986
6,621,1,0,0,1,0,0,0,6089.990731863215
4,1381,1,1,1,1,0,0,0,11628.108367626886
4,445,1,0,1,1,0,0,0,4302.787535410765
1,1011,1,1,0,1,0,0,0,10495.552746294681
7,0,0,0,0,1,0,0,0,0.0
1,523,1,1,0,1,0,0,0,6260.8418079096045
6,569,1,0,0,1,0,0,0,5600.27261761158
6,614,1,0,0,1,0,0,0,6089.990731863215
2,918,1,1,1,1,0,0,0,8968.846675712348
4,635,1,0,1,1,0,0,0,5499.045148895293
6,820,1,0,0,1,0,0,0,7346.38206954336
5,545,1,0,0,1,0,0,0,5222.174103237096
7,0,0,0,0,1,0,0,0,0.0
4,0,0,1,1,0,1,0,0,0.0
3,898,1,1,1,1,0,0,0,8497.515497553019
2,738,1,1,0,1,0,0,0,7650.754653130288
3,962,1,1,1,1,0,0,0,8822.24535493092
3,689,1,1,1,1,0,0,0,7058.356196414653
7,0,0,0,0,1,0,0,0,0.0
3,337,1,1,0,1,0,0,0,3820.481781376518
7,0,0,0,0,1,0,0,0,0.0
6,290,1,0,0,1,0,0,0,2695.280748663102
6,289,1,0,0,1,0,0,0,2695.280748663102
4,861,1,1,0,1,0,0,0,8058.9481292517
4,532,1,0,1,1,0,0,0,4791.989032901296
2,762,1,0,0,1,0,0,0,6119.622191011236
3,1035,1,0,0,1,0,0,0,7849.09402241594
2,595,1,1,0,1,0,0,0,6498.201629327902
5,1135,1,1,1,1,0,0,0,10117.18023255814
5,913,1,0,0,1,0,0,0,7640.4215413184775
1,1049,1,0,1,1,0,0,0,8901.115384615385
3,615,1,1,1,1,0,0,0,6413.790129372304
3,1233,1,1,1,1,0,0,0,10650.748948106591
1,863,1,1,0,1,0,0,0,9485.714143426294
4,594,1,1,0,1,0,0,0,6235.335553910683
5,717,1,0,1,1,0,0,0,6480.836948915326
4,638,1,1,0,1,0,0,0,6474.423423423424
1,515,1,0,0,1,0,0,0,4785.342592592592
3,753,1,0,1,1,0,0,0,6205.934156378601
4,743,1,1,0,1,0,0,0,7414.5713199898655
2,621,1,1,0,1,0,0,0,6782.275815217391
7,0,0,0,0,1,0,0,0,0.0
6,354,1,0,0,1,0,0,0,3329.475903614458
7,0,0,0,0,1,0,0,0,0.0
6,861,1,0,0,1,0,0,0,7701.688160088938
7,0,0,0,0,1,0,0,0,0.0
6,687,1,0,0,1,0,0,0,6500.995071868583
7,0,0,0,0,1,0,0,0,0.0
5,425,1,0,0,1,0,0,0,4186.532322426177
3,787,1,0,0,1,0,0,0,6450.335990190068
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
7,0,0,0,0,1,0,0,0,0.0
6,688,1,0,0,1,0,0,0,6500.995071868583
6,686,1,0,0,1,0,0,0,6500.995071868583
5,534,1,0,1,1,0,0,0,5013.0
3,1681,1,0,0,1,0,0,0,11243.997409326425
6,753,1,0,0,1,0,0,0,6824.5028571428575
2,1806,1,1,0,1,0,0,0,14190.257352941177
7,0,0,0,0,1,0,0,0,0.0
5,637,1,1,0,1,0,0,0,6474.423423423424
7,0,0,0,0,1,0,0,0,0.0
1,590,1,1,0,1,0,0,0,6909.185185185185
6,352,1,0,0,1,0,0,0,3329.475903614458
7,0,0,0,0,1,0,0,0,0.0
4,0,0,0,0,0,1,0,0,0.0
1,0,0,0,0,0,1,0,0,0.0
1,845,1,1,0,1,0,0,0,9411.830680173662
1,1097,1,1,0,1,0,0,0,11154.968232044199
3,417,1,0,1,1,0,0,0,4047.9751308900522
4,665,1,0,1,1,0,0,0,5739.129317980513
5,777,1,1,0,1,0,0,0,7726.496010079798
6,415,1,0,0,1,0,0,0,3924.5217965653896
6,1706,1,0,0,1,0,0,0,12227.579957356076
2,411,1,1,0,1,0,0,0,5009.218604651162
2,676,1,0,1,1,0,0,0,6103.085948158254
7,0,0,0,0,1,0,0,0,0.0
1,641,1,1,1,1,0,0,0,7558.199558985667
5,653,1,0,0,1,0,0,0,5954.918918918919
6,438,1,0,0,1,0,0,0,4393.77794117647
4,688,1,1,0,1,0,0,0,6823.023879500367
2,344,1,0,1,1,0,0,0,3459.6901041666665
